# File: HDDCDD_NEX_GDDP_CMIP6_HK.csv
# Title: Population-weighted HDDCDD historical data and projections for Hong Kong
# Units: Fahrenheit Degree Days
# Source: Refer to Xiujuan He Hong Kong base temperatures for heating and cooling degree days (HDD and CDD) are 14.95°C and 20.66°C (not 18.3°C as default). The climate data are from the NEX-GDDP-CMIP6 dataset and using ensemble mean of 33 models in SSP126 SSP245 SSP370 and SSP585 scenarios. The projection is started from 2015.
# Column types: cnnnnnnnnnn
# ----------
scenario,year,hdd_fdd_mean,hdd_fdd_median,hdd_fdd_p05,hdd_fdd_p95,cdd_fdd_mean,cdd_fdd_median,cdd_fdd_p05,cdd_fdd_p95,n_models
ssp245,2041,79.0807146469717,67.74850623735654,23.124725718423996,164.44153694128036,2995.461090390819,2988.946589446908,2593.153657412189,3360.2547319687237,32
ssp245,2042,83.17597279715466,67.73184778176463,16.599964194444937,181.38794028581242,2989.9186685936115,3011.1232210439966,2660.299859568569,3386.787837124252,32
ssp245,2043,75.68603046776725,65.70262876188305,8.13000508932221,159.32570250911613,2955.7708587758752,2938.1433848983006,2595.9650280905857,3333.341552798577,32
ssp245,2044,78.49061892098388,90.12125193815824,14.290181150065647,144.0007121805702,2942.5074466234896,2958.4165702374094,2592.8875608681346,3299.632626807904,32
ssp245,2045,63.509092891876236,52.86983929750447,11.19165968458358,128.71999406984014,3024.2798742484915,3017.106078446533,2766.1008083969273,3288.143865608329,32
ssp245,2046,68.60744034551664,65.99399024446963,8.902485788763816,141.12654592821852,3029.584716767206,2972.903327280026,2689.0908640914436,3423.1219099328537,32
ssp245,2047,66.88121115364507,67.15395235385758,14.197584289370493,123.23886405628993,3028.0758817187248,3043.088584643276,2682.659840762647,3338.438910229872,32
ssp245,2048,65.64363628444639,56.936320662946166,11.877599555683673,148.6780220877178,3119.5710379230345,3107.317460416524,2637.0550864749343,3483.29814694963,32
ssp245,2049,66.66092320803024,57.80754503220129,11.408809130374143,140.3314544594745,3063.8562803364493,3005.388884295035,2845.027489484409,3447.9615375805283,32
ssp245,2050,65.49212679950068,53.11850215479589,7.340102159174109,149.04975637335323,3060.2258070480507,3055.784215572177,2740.9642908207393,3397.3527552972782,32
